央视频道,#genre#
CCTV1,http://123.10.79.195:808/hls/1/index.m3u8
CCTV5,http://123.10.79.195:808/hls/5/index.m3u8
CCTV10,http://123.10.79.195:808/hls/10/index.m3u8
CCTV12,http://123.10.79.195:808/hls/12/index.m3u8
CCTV13,http://123.10.79.195:808/hls/13/index.m3u8
卫视频道,#genre#
云南卫视,http://123.10.79.195:808/hls/46/index.m3u8
厦门卫视,http://123.10.79.195:808/hls/69/index.m3u8
厦门卫视,http://123.10.79.195:808/hls/69/index.m3u8
四川卫视,http://123.10.79.195:808/hls/44/index.m3u8
天津卫视,http://123.10.79.195:808/hls/38/index.m3u8
宁夏卫视,http://123.10.79.195:808/hls/59/index.m3u8
安徽卫视,http://123.10.79.195:808/hls/40/index.m3u8
山东卫视,http://123.10.79.195:808/hls/39/index.m3u8
新疆卫视,http://123.10.79.195:808/hls/63/index.m3u8
江西卫视,http://123.10.79.195:808/hls/42/index.m3u8
陕西卫视,http://123.10.79.195:808/hls/57/index.m3u8
其他频道,#genre#
中国教育4,http://123.10.79.195:808/hls/68/index.m3u8
CGTN,http://123.10.79.195:808/hls/16/index.m3u8
影院,http://123.10.79.195:808/hls/98/index.m3u8
收视指南,http://123.10.79.195:808/hls/75/index.m3u8
新农村,http://123.10.79.195:808/hls/25/index.m3u8
早教,http://123.10.79.195:808/hls/92/index.m3u8
河南国际,http://123.10.79.195:808/hls/26/index.m3u8
河南文物宝库,http://123.10.79.195:808/hls/28/index.m3u8
河南梨园,http://123.10.79.195:808/hls/27/index.m3u8
河南武术世界,http://123.10.79.195:808/hls/29/index.m3u8
河南电视剧,http://123.10.79.195:808/hls/21/index.m3u8
漯河公共,http://123.10.79.195:808/hls/78/index.m3u8
爱大剧,http://123.10.79.195:808/hls/101/index.m3u8
谍战剧场,http://123.10.79.195:808/hls/80/index.m3u8
金鹰卡通,http://123.10.79.195:808/hls/65/index.m3u8
音乐现场,http://123.10.79.195:808/hls/85/index.m3u8
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
苏州新闻综合,https://live-auth.51kandianshi.com/szgd/csztv1.m3u8
苏州社会经济,https://live-auth.51kandianshi.com/szgd/csztv2.m3u8
苏州文化生活,https://live-auth.51kandianshi.com/szgd/csztv3.m3u8
苏州生活咨讯,https://live-auth.51kandianshi.com/szgd/csztv5.m3u8
